nid,title,author,doi,abstract,source_title,year,source,pmid_if_applicable,full_text_link_if_included,file_id,occ_id,organism_type,organism_specific,pathogen,pathogen_note,patient_type,transmission_route,clinical,diagnostic,diagnostic_note,serosurvey,country,origin,problem_geography,lat,long,latlong_source,loc_confidence,shape_type,poly_type,buffer_radius,gaul_year_or_custom_shapefile,poly_id,poly_field,site_notes,month_start,month_end,year_start,year_end,year_accuracy
364253,"""""Don't forget the migrants"""": exploring preparedness and response strategies to combat the potential spread of MERS-CoV virus through migrant workers in Sri Lanka","Wickramage, K.; Peiris, S.; Agampodi, S.B.",10.12688/f1000research.2-163.v1,"From September 2012 to July 2013, 81 laboratory-confirmed cases of infection with Middle East respiratory syndrome coronavirus (MERS-CoV), including 45 deaths (a case fatality ratio of 55%) have been reported from eight countries. Human-to-human transmission is now confirmed showing potential for another pandemic of zoonotic disease, with an extremely high mortality rate. Effective surveillance strategies are required in countries with a high influx of migrants from the Middle East to mitigate the probable importation of MERS-CoV. We discuss here the risk of MERS-CoV in major labor sending countries and list the probable strategies for control and prevention of MERS-CoV using Sri Lanka as an example. It is conservatively estimated that 10% of Sri Lanka's population work as international labor migrants (1.8 to 2 million workers), with 93% residing in the Middle East. An average of 720 workers depart each day, with the majority of these workers (71%) departing to the Kingdom of Saudi Arabia (the country with 81.5% of total MERS-CoV cases). We also describe other inbound migration categories such as tourists and resident visa holders relevant to the context of preparedness and planning. The importance of partnerships between public health authorities at national and regional levels with labor migration networks to establish institutional and/or policy mechanisms are highlighted for ensuring effective preparedness and response planning. Strategies that can be taken by public health authorities working in both labor sending and labor receiving counties are also described. The strategies described here may be useful for other labor sending country contexts in Asia with a high frequency and volume of migrant workers to and from the Gulf region. © 2013 Wickramage K et al.",F1000Research,2013,pubmed,24555078,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3886786/,Wickramage_2013,1,human,Homo sapiens,MERS-CoV,,unspecified,unspecified,unknown,reported,"81 laboratory-confirmed cases of infection with 45 deaths were reported by 8 countries; 4 of the 8 countries (France, Germany, Italy, Tunisia, United Kingdom) excluded because cases had been either transferred to these countries from hospitals in the Middle East for specialist care or had returned from the Middle East and subsequently became ill",,JOR,Jordan,,NA,NA,,bad,polygon,admin,NA,2012,130,ADM0_CODE,occurrence data cited from WHO website; only provides country-level data,4,7,2012,2013,0
364253,"""""Don't forget the migrants"""": exploring preparedness and response strategies to combat the potential spread of MERS-CoV virus through migrant workers in Sri Lanka","Wickramage, K.; Peiris, S.; Agampodi, S.B.",10.12688/f1000research.2-163.v1,"From September 2012 to July 2013, 81 laboratory-confirmed cases of infection with Middle East respiratory syndrome coronavirus (MERS-CoV), including 45 deaths (a case fatality ratio of 55%) have been reported from eight countries. Human-to-human transmission is now confirmed showing potential for another pandemic of zoonotic disease, with an extremely high mortality rate. Effective surveillance strategies are required in countries with a high influx of migrants from the Middle East to mitigate the probable importation of MERS-CoV. We discuss here the risk of MERS-CoV in major labor sending countries and list the probable strategies for control and prevention of MERS-CoV using Sri Lanka as an example. It is conservatively estimated that 10% of Sri Lanka's population work as international labor migrants (1.8 to 2 million workers), with 93% residing in the Middle East. An average of 720 workers depart each day, with the majority of these workers (71%) departing to the Kingdom of Saudi Arabia (the country with 81.5% of total MERS-CoV cases). We also describe other inbound migration categories such as tourists and resident visa holders relevant to the context of preparedness and planning. The importance of partnerships between public health authorities at national and regional levels with labor migration networks to establish institutional and/or policy mechanisms are highlighted for ensuring effective preparedness and response planning. Strategies that can be taken by public health authorities working in both labor sending and labor receiving counties are also described. The strategies described here may be useful for other labor sending country contexts in Asia with a high frequency and volume of migrant workers to and from the Gulf region. © 2013 Wickramage K et al.",F1000Research,2013,pubmed,24555078,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3886786/,Wickramage_2013,2,human,Homo sapiens,MERS-CoV,,unspecified,unspecified,unknown,reported,"81 laboratory-confirmed cases of infection with 45 deaths were reported by 8 countries; 4 of the 8 countries (France, Germany, Italy, Tunisia, United Kingdom) excluded because cases had been either transferred to these countries from hospitals in the Middle East for specialist care or had returned from the Middle East and subsequently became ill",,QAT,Qatar,,NA,NA,,bad,polygon,admin,NA,2012,201,ADM0_CODE,occurrence data cited from WHO website; only provides country-level data,4,7,2012,2013,0
364253,"""""Don't forget the migrants"""": exploring preparedness and response strategies to combat the potential spread of MERS-CoV virus through migrant workers in Sri Lanka","Wickramage, K.; Peiris, S.; Agampodi, S.B.",10.12688/f1000research.2-163.v1,"From September 2012 to July 2013, 81 laboratory-confirmed cases of infection with Middle East respiratory syndrome coronavirus (MERS-CoV), including 45 deaths (a case fatality ratio of 55%) have been reported from eight countries. Human-to-human transmission is now confirmed showing potential for another pandemic of zoonotic disease, with an extremely high mortality rate. Effective surveillance strategies are required in countries with a high influx of migrants from the Middle East to mitigate the probable importation of MERS-CoV. We discuss here the risk of MERS-CoV in major labor sending countries and list the probable strategies for control and prevention of MERS-CoV using Sri Lanka as an example. It is conservatively estimated that 10% of Sri Lanka's population work as international labor migrants (1.8 to 2 million workers), with 93% residing in the Middle East. An average of 720 workers depart each day, with the majority of these workers (71%) departing to the Kingdom of Saudi Arabia (the country with 81.5% of total MERS-CoV cases). We also describe other inbound migration categories such as tourists and resident visa holders relevant to the context of preparedness and planning. The importance of partnerships between public health authorities at national and regional levels with labor migration networks to establish institutional and/or policy mechanisms are highlighted for ensuring effective preparedness and response planning. Strategies that can be taken by public health authorities working in both labor sending and labor receiving counties are also described. The strategies described here may be useful for other labor sending country contexts in Asia with a high frequency and volume of migrant workers to and from the Gulf region. © 2013 Wickramage K et al.",F1000Research,2013,pubmed,24555078,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3886786/,Wickramage_2013,3,human,Homo sapiens,MERS-CoV,,unspecified,unspecified,unknown,reported,"81 laboratory-confirmed cases of infection with 45 deaths were reported by 8 countries; 4 of the 8 countries (France, Germany, Italy, Tunisia, United Kingdom) excluded because cases had been either transferred to these countries from hospitals in the Middle East for specialist care or had returned from the Middle East and subsequently became ill",,SAU,Saudi Arabia,,NA,NA,,bad,polygon,admin,NA,2012,215,ADM0_CODE,occurrence data cited from WHO website; only provides country-level data,4,7,2012,2013,0
364253,"""""Don't forget the migrants"""": exploring preparedness and response strategies to combat the potential spread of MERS-CoV virus through migrant workers in Sri Lanka","Wickramage, K.; Peiris, S.; Agampodi, S.B.",10.12688/f1000research.2-163.v1,"From September 2012 to July 2013, 81 laboratory-confirmed cases of infection with Middle East respiratory syndrome coronavirus (MERS-CoV), including 45 deaths (a case fatality ratio of 55%) have been reported from eight countries. Human-to-human transmission is now confirmed showing potential for another pandemic of zoonotic disease, with an extremely high mortality rate. Effective surveillance strategies are required in countries with a high influx of migrants from the Middle East to mitigate the probable importation of MERS-CoV. We discuss here the risk of MERS-CoV in major labor sending countries and list the probable strategies for control and prevention of MERS-CoV using Sri Lanka as an example. It is conservatively estimated that 10% of Sri Lanka's population work as international labor migrants (1.8 to 2 million workers), with 93% residing in the Middle East. An average of 720 workers depart each day, with the majority of these workers (71%) departing to the Kingdom of Saudi Arabia (the country with 81.5% of total MERS-CoV cases). We also describe other inbound migration categories such as tourists and resident visa holders relevant to the context of preparedness and planning. The importance of partnerships between public health authorities at national and regional levels with labor migration networks to establish institutional and/or policy mechanisms are highlighted for ensuring effective preparedness and response planning. Strategies that can be taken by public health authorities working in both labor sending and labor receiving counties are also described. The strategies described here may be useful for other labor sending country contexts in Asia with a high frequency and volume of migrant workers to and from the Gulf region. © 2013 Wickramage K et al.",F1000Research,2013,pubmed,24555078,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3886786/,Wickramage_2013,4,human,Homo sapiens,MERS-CoV,,unspecified,unspecified,unknown,reported,"81 laboratory-confirmed cases of infection with 45 deaths were reported by 8 countries; 4 of the 8 countries (France, Germany, Italy, Tunisia, United Kingdom) excluded because cases had been either transferred to these countries from hospitals in the Middle East for specialist care or had returned from the Middle East and subsequently became ill",,ARE,United Arab Emirates,,NA,NA,,bad,polygon,admin,NA,2012,255,ADM0_CODE,occurrence data cited from WHO website; only provides country-level data,4,7,2012,2013,0
364255,2014 MERS-CoV Outbreak in Jeddah — A Link to Health Care Facilities,"Oboho, Ikwo K.; Tomczyk, Sara M.; Al-Asmari, Ahmad M.; Banjar, Ayman A.; Al-Mugti, Hani; Aloraini, Muhannad S.; Alkhaldi, Khulud Z.; Almohammadi, Emad L.; Alraddadi, Basem M.; Gerber, Susan I.; Swerdlow, David L.; Watson, John T.; Madani, Tariq A.",10.1056/NEJMoa1408636,"A marked increase in the number of cases of Middle East respiratory syndrome coronavirus (MERS-CoV) infection occurred in Jeddah, Saudi Arabia, in early 2014. We evaluated patients with MERS-CoV infection in Jeddah to explore reasons for this increase and to assess the epidemiologic and clinical features of this disease. METHODS We identified all cases of laboratory-confirmed MERS-CoV infection in Jeddah that were reported to the Saudi Arabian Ministry of Health from January 1 through May 16, 2014. We conducted telephone interviews with symptomatic patients who were not health care personnel, and we reviewed hospital records. We identified patients who were reported as being asymptomatic and interviewed them regarding a history of symptoms in the month before testing. Descriptive analyses were performed. RESULTS Of 255 patients with laboratory-confirmed MERS-CoV infection, 93 died (case fatality rate, 36.5%). The median age of all patients was 45 years (interquartile range, 30 to 59), and 174 patients (68.2%) were male. A total of 64 patients (25.1%) were reported to be asymptomatic. Of the 191 symptomatic patients, 40 (20.9%) were health care personnel. Among the 151 symptomatic patients who were not health care personnel, 112 (74.2%) had data that could be assessed, and 109 (97.3%) of these patients had had contact with a health care facility, a person with a confirmed case of MERS-CoV infection, or someone with severe respiratory illness in the 14 days before the onset of illness. The remaining 3 patients (2.7%) reported no such contacts. Of the 64 patients who had been reported as asymptomatic, 33 (52%) were interviewed, and 26 of these 33 (79%) reported at least one symptom that was consistent with a viral respiratory illness. CONCLUSIONS The majority of patients in the Jeddah MERS-CoV outbreak had contact with a health care facility, other patients, or both. This highlights the role of health care-associated transmission.",New England Journal of Medicine,2015,pubmed,25714162,http://www.nejm.org/doi/full/10.1056/NEJMoa1408636,Oboho_2015,5,human,Homo sapiens,MERS-CoV,,index,unspecified,yes,PCR,"RT-PCR; article reports 3 """"potential"""" index cases; no concrete evidence of a zoonotic transmission",,SAU,Jeddah,,21.516285,39.252254,Google Maps,bad,polygon,buffer,49.3,,NA,,"article identified location of occurrences as the city of Jeddah, Saudi Arabia; I created a buffer the encompasses the city",1,5,2014,2014,0
364255,2014 MERS-CoV Outbreak in Jeddah — A Link to Health Care Facilities,"Oboho, Ikwo K.; Tomczyk, Sara M.; Al-Asmari, Ahmad M.; Banjar, Ayman A.; Al-Mugti, Hani; Aloraini, Muhannad S.; Alkhaldi, Khulud Z.; Almohammadi, Emad L.; Alraddadi, Basem M.; Gerber, Susan I.; Swerdlow, David L.; Watson, John T.; Madani, Tariq A.",10.1056/NEJMoa1408636,"A marked increase in the number of cases of Middle East respiratory syndrome coronavirus (MERS-CoV) infection occurred in Jeddah, Saudi Arabia, in early 2014. We evaluated patients with MERS-CoV infection in Jeddah to explore reasons for this increase and to assess the epidemiologic and clinical features of this disease. METHODS We identified all cases of laboratory-confirmed MERS-CoV infection in Jeddah that were reported to the Saudi Arabian Ministry of Health from January 1 through May 16, 2014. We conducted telephone interviews with symptomatic patients who were not health care personnel, and we reviewed hospital records. We identified patients who were reported as being asymptomatic and interviewed them regarding a history of symptoms in the month before testing. Descriptive analyses were performed. RESULTS Of 255 patients with laboratory-confirmed MERS-CoV infection, 93 died (case fatality rate, 36.5%). The median age of all patients was 45 years (interquartile range, 30 to 59), and 174 patients (68.2%) were male. A total of 64 patients (25.1%) were reported to be asymptomatic. Of the 191 symptomatic patients, 40 (20.9%) were health care personnel. Among the 151 symptomatic patients who were not health care personnel, 112 (74.2%) had data that could be assessed, and 109 (97.3%) of these patients had had contact with a health care facility, a person with a confirmed case of MERS-CoV infection, or someone with severe respiratory illness in the 14 days before the onset of illness. The remaining 3 patients (2.7%) reported no such contacts. Of the 64 patients who had been reported as asymptomatic, 33 (52%) were interviewed, and 26 of these 33 (79%) reported at least one symptom that was consistent with a viral respiratory illness. CONCLUSIONS The majority of patients in the Jeddah MERS-CoV outbreak had contact with a health care facility, other patients, or both. This highlights the role of health care-associated transmission.",New England Journal of Medicine,2015,pubmed,25714162,http://www.nejm.org/doi/full/10.1056/NEJMoa1408636,Oboho_2015,6,human,Homo sapiens,MERS-CoV,,secondary,direct,yes,PCR,,,SAU,Jeddah,,21.516285,39.252254,Google Maps,bad,polygon,buffer,49.3,,NA,,"article identified location of occurrences as the city of Jeddah, Saudi Arabia; I created a buffer the encompasses the city",1,5,2014,2014,0
364255,2014 MERS-CoV Outbreak in Jeddah — A Link to Health Care Facilities,"Oboho, Ikwo K.; Tomczyk, Sara M.; Al-Asmari, Ahmad M.; Banjar, Ayman A.; Al-Mugti, Hani; Aloraini, Muhannad S.; Alkhaldi, Khulud Z.; Almohammadi, Emad L.; Alraddadi, Basem M.; Gerber, Susan I.; Swerdlow, David L.; Watson, John T.; Madani, Tariq A.",10.1056/NEJMoa1408636,"A marked increase in the number of cases of Middle East respiratory syndrome coronavirus (MERS-CoV) infection occurred in Jeddah, Saudi Arabia, in early 2014. We evaluated patients with MERS-CoV infection in Jeddah to explore reasons for this increase and to assess the epidemiologic and clinical features of this disease. METHODS We identified all cases of laboratory-confirmed MERS-CoV infection in Jeddah that were reported to the Saudi Arabian Ministry of Health from January 1 through May 16, 2014. We conducted telephone interviews with symptomatic patients who were not health care personnel, and we reviewed hospital records. We identified patients who were reported as being asymptomatic and interviewed them regarding a history of symptoms in the month before testing. Descriptive analyses were performed. RESULTS Of 255 patients with laboratory-confirmed MERS-CoV infection, 93 died (case fatality rate, 36.5%). The median age of all patients was 45 years (interquartile range, 30 to 59), and 174 patients (68.2%) were male. A total of 64 patients (25.1%) were reported to be asymptomatic. Of the 191 symptomatic patients, 40 (20.9%) were health care personnel. Among the 151 symptomatic patients who were not health care personnel, 112 (74.2%) had data that could be assessed, and 109 (97.3%) of these patients had had contact with a health care facility, a person with a confirmed case of MERS-CoV infection, or someone with severe respiratory illness in the 14 days before the onset of illness. The remaining 3 patients (2.7%) reported no such contacts. Of the 64 patients who had been reported as asymptomatic, 33 (52%) were interviewed, and 26 of these 33 (79%) reported at least one symptom that was consistent with a viral respiratory illness. CONCLUSIONS The majority of patients in the Jeddah MERS-CoV outbreak had contact with a health care facility, other patients, or both. This highlights the role of health care-associated transmission.",New England Journal of Medicine,2015,pubmed,25714162,http://www.nejm.org/doi/full/10.1056/NEJMoa1408636,Oboho_2015,7,human,Homo sapiens,MERS-CoV,,secondary,direct,no,PCR,"RT-PCR; asymptomatic persons were identified by contact tracing, postexposure screening of health care personnel, or both",,SAU,Jeddah,,21.516285,39.252254,Google Maps,bad,polygon,buffer,49.3,,NA,,"article identified location of occurrences as the city of Jeddah, Saudi Arabia; I created a buffer the encompasses the city",1,5,2014,2014,0
364271,2015 MERS outbreak in Korea: hospital-to-hospital transmission,"Ki, Moran",10.4178/epih/e2015033,"The distinct characteristic of the Middle East Respiratory Syndrome (MERS) outbreak in South Korea is that it not only involves intra-hospital transmission, but it also involves hospital-to-hospital transmission. It has been the largest MERS outbreak outside the Middle East, with 186 confirmed cases and, among them, 36 fatal cases as of July 26, 2015. All confirmed cases are suspected to be hospital-acquired infections except one case of household transmission and two cases still undergoing examination. The Korean health care system has been the major factor shaping the unique characteristics of the outbreak. Taking this as an opportunity, the Korean government should carefully assess the fundamental problems of the vulnerability to hospital infection and make short- as well as long-term plans for countermeasures. In addition, it is hoped that this journal, Epidemiology and Health, becomes a place where various topics regarding MERS can be discussed and shared.",Epidemiology and Health,2015,pubmed,26212508,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4533026/,Ki_2015,8,human,Homo sapiens,MERS-CoV,,secondary,direct,unknown,reported,,,KOR,Pyeongtaek St. Mary’s Hospital,hospital,37.008382,127.074086,Google Maps,good,point,,NA,,NA,,various secondary cases reported at multiple hospitals,5,7,2015,2015,0
364271,2015 MERS outbreak in Korea: hospital-to-hospital transmission,"Ki, Moran",10.4178/epih/e2015033,"The distinct characteristic of the Middle East Respiratory Syndrome (MERS) outbreak in South Korea is that it not only involves intra-hospital transmission, but it also involves hospital-to-hospital transmission. It has been the largest MERS outbreak outside the Middle East, with 186 confirmed cases and, among them, 36 fatal cases as of July 26, 2015. All confirmed cases are suspected to be hospital-acquired infections except one case of household transmission and two cases still undergoing examination. The Korean health care system has been the major factor shaping the unique characteristics of the outbreak. Taking this as an opportunity, the Korean government should carefully assess the fundamental problems of the vulnerability to hospital infection and make short- as well as long-term plans for countermeasures. In addition, it is hoped that this journal, Epidemiology and Health, becomes a place where various topics regarding MERS can be discussed and shared.",Epidemiology and Health,2015,pubmed,26212508,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4533026/,Ki_2015,9,human,Homo sapiens,MERS-CoV,,secondary,direct,unknown,reported,,,KOR,Samsung Medical Center,hospital,37.488174,127.085075,Google Maps,good,point,,NA,,NA,,various secondary cases reported at multiple hospitals,5,7,2015,2015,0
364271,2015 MERS outbreak in Korea: hospital-to-hospital transmission,"Ki, Moran",10.4178/epih/e2015033,"The distinct characteristic of the Middle East Respiratory Syndrome (MERS) outbreak in South Korea is that it not only involves intra-hospital transmission, but it also involves hospital-to-hospital transmission. It has been the largest MERS outbreak outside the Middle East, with 186 confirmed cases and, among them, 36 fatal cases as of July 26, 2015. All confirmed cases are suspected to be hospital-acquired infections except one case of household transmission and two cases still undergoing examination. The Korean health care system has been the major factor shaping the unique characteristics of the outbreak. Taking this as an opportunity, the Korean government should carefully assess the fundamental problems of the vulnerability to hospital infection and make short- as well as long-term plans for countermeasures. In addition, it is hoped that this journal, Epidemiology and Health, becomes a place where various topics regarding MERS can be discussed and shared.",Epidemiology and Health,2015,pubmed,26212508,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4533026/,Ki_2015,10,human,Homo sapiens,MERS-CoV,,secondary,direct,unknown,reported,,,KOR,Daecheong Hospital,hospital,37.488236,127.085604,Google Maps,good,point,,NA,,NA,,various secondary cases reported at multiple hospitals,5,7,2015,2015,0
